rcept_no,reprt_code,bsns_year,corp_code,sj_div,sj_nm,account_id,account_nm,account_detail,thstrm_nm,thstrm_amount,frmtrm_nm,frmtrm_amount,bfefrmtrm_nm,bfefrmtrm_amount,ord,currency,thstrm_add_amount
20220308000798,11011,2021,00126380,BS,재무상태표,ifrs-full_CurrentAssets,유동자산,-,제 53 기,218163185000000,제 52 기,198215579000000,제 51 기,181385260000000,1,KRW,
20220308000798,11011,2021,00126380,BS,재무상태표,ifrs-full_CashAndCashEquivalents,현금및현금성자산,-,제 53 기,39031415000000,제 52 기,29382578000000,제 51 기,26885999000000,2,KRW,
20220308000798,11011,2021,00126380,BS,재무상태표,dart_ShortTermDepositsNotClassifiedAsCashEquivalents,단기금융상품,-,제 53 기,81708986000000,제 52 기,92441703000000,제 51 기,76252052000000,3,KRW,
20220308000798,11011,2021,00126380,BS,재무상태표,-표준계정코드 미사용-,단기상각후원가금융자산,-,제 53 기,3369034000000,제 52 기,2757111000000,제 51 기,3914216000000,4,KRW,
20220308000798,11011,2021,00126380,BS,재무상태표,ifrs-full_CurrentFinancialAssetsAtFairValueThroughProfitOrLossMandatorilyMeasuredAtFairValue,단기당기손익-공정가치금융자산,-,제 53 기,40757000000,제 52 기,71451000000,제 51 기,1727436000000,5,KRW,
20220308000798,11011,2021,00126380,BS,재무상태표,dart_ShortTermTradeReceivable,매출채권,-,제 53 기,40713415000000,제 52 기,30965058000000,제 51 기,35131343000000,6,KRW,
20220308000798,11011,2021,00126380,BS,재무상태표,-표준계정코드 미사용-,미수금,-,제 53 기,4497257000000,제 52 기,3604539000000,제 51 기,4179120000000,7,KRW,
20220308000798,11011,2021,00126380,BS,재무상태표,-표준계정코드 미사용-,선급비용,-,제 53 기,2336252000000,제 52 기,2266100000000,제 51 기,2406220000000,8,KRW,
20220308000798,11011,2021,00126380,BS,재무상태표,ifrs-full_Inventories,재고자산,-,제 53 기,41384404000000,제 52 기,32043145000000,제 51 기,26766464000000,9,KRW,
20220308000798,11011,2021,00126380,BS,재무상태표,dart_OtherCurrentAssets,기타유동자산,-,제 53 기,5081665000000,제 52 기,3754462000000,제 51 기,4122410000000,10,KRW,
20220308000798,11011,2021,00126380,BS,재무상태표,-표준계정코드 미사용-,매각예정분류자산,-,제 53 기,0,제 52 기,929432000000,제 51 기,0,11,KRW,
20220308000798,11011,2021,00126380,BS,재무상태표,ifrs-full_NoncurrentAssets,비유동자산,-,제 53 기,208457973000000,제 52 기,180020139000000,제 51 기,171179237000000,12,KRW,
20220308000798,11011,2021,00126380,BS,재무상태표,-표준계정코드 미사용-,기타포괄손익-공정가치금융자산,-,제 53 기,13965839000000,제 52 기,12575216000000,제 51 기,8920712000000,13,KRW,
20220308000798,11011,2021,00126380,BS,재무상태표,-표준계정코드 미사용-,당기손익-공정가치금융자산,-,제 53 기,1525344000000,제 52 기,1202969000000,제 51 기,1049004000000,14,KRW,
20220308000798,11011,2021,00126380,BS,재무상태표,-표준계정코드 미사용-,관계기업 및 공동기업 투자,-,제 53 기,8932251000000,제 52 기,8076779000000,제 51 기,7591612000000,15,KRW,
20220308000798,11011,2021,00126380,BS,재무상태표,ifrs-full_PropertyPlantAndEquipment,유형자산,-,제 53 기,149928539000000,제 52 기,128952892000000,제 51 기,119825474000000,16,KRW,
20220308000798,11011,2021,00126380,BS,재무상태표,ifrs-full_IntangibleAssetsOtherThanGoodwill,무형자산,-,제 53 기,20236244000000,제 52 기,18468502000000,제 51 기,20703504000000,17,KRW,
20220308000798,11011,2021,00126380,BS,재무상태표,dart_DepositsForSeveranceInsurance,순확정급여자산,-,제 53 기,2809590000000,제 52 기,1355502000000,제 51 기,589832000000,18,KRW,
20220308000798,11011,2021,00126380,BS,재무상태표,ifrs-full_DeferredTaxAssets,이연법인세자산,-,제 53 기,4261214000000,제 52 기,4275000000000,제 51 기,4505049000000,19,KRW,
20220308000798,11011,2021,00126380,BS,재무상태표,dart_OtherNonCurrentAssets,기타비유동자산,-,제 53 기,6798952000000,제 52 기,5113279000000,제 51 기,7994050000000,20,KRW,
20220308000798,11011,2021,00126380,BS,재무상태표,ifrs-full_Assets,자산총계,-,제 53 기,426621158000000,제 52 기,378235718000000,제 51 기,352564497000000,21,KRW,
20220308000798,11011,2021,00126380,BS,재무상태표,ifrs-full_CurrentLiabilities,유동부채,-,제 53 기,88117133000000,제 52 기,75604351000000,제 51 기,63782764000000,23,KRW,
20220308000798,11011,2021,00126380,BS,재무상태표,-표준계정코드 미사용-,매입채무,-,제 53 기,13453351000000,제 52 기,9739222000000,제 51 기,8718222000000,24,KRW,
20220308000798,11011,2021,00126380,BS,재무상태표,ifrs-full_ShorttermBorrowings,단기차입금,-,제 53 기,13687793000000,제 52 기,16553429000000,제 51 기,14393468000000,25,KRW,
20220308000798,11011,2021,00126380,BS,재무상태표,-표준계정코드 미사용-,미지급금,-,제 53 기,15584866000000,제 52 기,11899022000000,제 51 기,12002513000000,26,KRW,
